Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
SF-20065,Sandra Flanagan,Consumer,41,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
LH-16900,Lena Hernandez,Consumer,66,United States,Dover,Delaware,19901,East
JM-15265,Janet Molinari,Corporate,23,United States,New York City,New York,10024,East
TB-21055,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
HM-14980,Henry MacAllister,Consumer,35,United States,New York City,New York,10009,East
PN-18775,Parhena Norris,Home Office,35,United States,New York City,New York,10009,East
CV-12805,Cynthia Voltz,Corporate,55,United States,New York City,New York,10035,East
RC-19960,Ryan Crowe,Consumer,34,United States,Columbus,Ohio,43229,East
SC-20725,Steven Cartwright,Consumer,28,United States,Wilmington,Delaware,19805,East
DW-13585,Dorothy Wardle,Corporate,62,United States,Columbus,Ohio,43229,East
JD-15895,Jonathan Doherty,Corporate,57,United States,Philadelphia,Pennsylvania,19140,East
MG-17680,Maureen Gastineau,Home Office,26,United States,Newark,Ohio,43055,East
EM-13960,Eric Murdock,Consumer,46,United States,Philadelphia,Pennsylvania,19134,East
JK-15640,Jim Kriz,Home Office,31,United States,New York City,New York,10009,East
SK-19990,Sally Knutson,Consumer,44,United States,Fairfield,Connecticut,6824,East
MP-17470,Mark Packer,Home Office,61,United States,New York City,New York,10035,East
CB-12025,Cassandra Brandow,Consumer,43,United States,Hamilton,Ohio,45011,East
VM-21685,Valerie Mitchum,Home Office,69,United States,Westfield,New Jersey,7090,East
FH-14365,Fred Hopkins,Corporate,49,United States,Philadelphia,Pennsylvania,19120,East
MB-17305,Maria Bertelson,Consumer,43,United States,Akron,Ohio,44312,East
VW-21775,Victoria Wilson,Corporate,62,United States,Medina,Ohio,44256,East
JB-15925,Joni Blumstein,Consumer,25,United States,Dublin,Ohio,43017,East
DL-13315,Delfina Latchford,Consumer,48,United States,New York City,New York,10024,East
CC-12670,Craig Carreira,Consumer,22,United States,New York City,New York,10009,East
CA-12310,Christine Abelman,Corporate,68,United States,Cincinnati,Ohio,45231,East
AG-10495,Andrew Gjertsen,Corporate,24,United States,Philadelphia,Pennsylvania,19140,East
