Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
DV-13045,Darrin Van Huff,Corporate,31,United States,Los Angeles,California,90036,West
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
IM-15070,Irene Maddox,Consumer,66,United States,Seattle,Washington,98103,West
AG-10270,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West
ZD-21925,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West
EB-13870,Emily Burns,Consumer,34,United States,Orem,Utah,84057,West
EH-13945,Eric Hoffmann,Consumer,21,United States,Los Angeles,California,90049,West
RA-19885,Ruben Ausman,Corporate,51,United States,Los Angeles,California,90049,West
KM-16720,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West
BS-11590,Brendan Sweed,Corporate,45,United States,Gilbert,Arizona,85234,West
DN-13690,Duane Noonan,Consumer,42,United States,San Francisco,California,94122,West
JS-15685,Jim Sink,Corporate,33,United States,Los Angeles,California,90036,West
RB-19705,Roger Barcio,Home Office,63,United States,Portland,Oregon,97206,West
KD-16345,Katherine Ducich,Consumer,33,United States,San Francisco,California,94122,West
LC-16870,Lena Cacioppo,Consumer,63,United States,Aurora,Colorado,80013,West
DK-13090,Dave Kipp,Consumer,24,United States,Seattle,Washington,98103,West
TS-21610,Troy Staebel,Consumer,33,United States,Phoenix,Arizona,85023,West
LS-16975,Lindsay Shagiari,Home Office,66,United States,Los Angeles,California,90004,West
LC-16885,Lena Creighton,Consumer,31,United States,Roseville,California,95661,West
SH-19975,Sally Hughsby,Corporate,60,United States,San Francisco,California,94122,West
HA-14920,Helen Andreada,Consumer,48,United States,Pasadena,California,91104,West
TW-21025,Tamara Willingham,Home Office,61,United States,Scottsdale,Arizona,85254,West
SP-20650,Stephanie Phelps,Corporate,18,United States,San Jose,California,95123,West
NK-18490,Neil Knudson,Home Office,61,United States,Seattle,Washington,98105,West
DB-13060,Dave Brooks,Consumer,50,United States,Seattle,Washington,98115,West
TT-21070,Ted Trevino,Consumer,67,United States,Los Angeles,California,90045,West
RD-19900,Ruben Dartt,Consumer,26,United States,Carlsbad,New Mexico,88220,West
MJ-17740,Max Jones,Consumer,40,United States,Seattle,Washington,98115,West
CS-12130,Chad Sievert,Consumer,51,United States,Los Angeles,California,90004,West
FM-14290,Frank Merwin,Home Office,45,United States,Los Angeles,California,90032,West
MZ-17515,Mary Zewe,Corporate,52,United States,Redlands,California,92374,West
BS-11755,Bruce Stewart,Consumer,59,United States,Denver,Colorado,80219,West
LE-16810,Laurel Elliston,Consumer,62,United States,Whittier,California,90604,West
JH-15910,Jonathan Howell,Consumer,40,United States,Los Angeles,California,90032,West
DB-13120,David Bremer,Corporate,60,United States,Santa Clara,California,95051,West
LH-17155,Logan Haushalter,Consumer,43,United States,San Francisco,California,94109,West
KC-16540,Kelly Collister,Consumer,39,United States,San Diego,California,92037,West
